"Name","Gender","Place of Birth (Country)","Place of Birth (State)","Place of Birth (City)","Date of Birth","Time of Birth","Age","Manglik","Horoscope","Height","Weight","Email","Contact","Personal Appearance","Currently Living In (Country)","Currently Living In (State)","Currently Living In (City)","Country Code","Relocation in Future","Diet","Alcohol","Smoking","Marital Status","Highest Education","Highest Qualification","School/University","Passing Year","Profession","Current Designation","Previous Occupation","Annual Income Value","Father's Name","Father's Occupation","Mother's Name","Mother's Occupation","Siblings","With Family Status","Family Location (Country)","Family Location (State)","Family Location (City)","Religion","Caste","Community","Family Annual Income","Interests","Fun","Fitness","Other","Profile Picture","User Photos","User Photos URL","Profile Picture URL","About Yourself","WhatsApp Setting","Email Subscribe","Gender","Category","Annual Income Type"
"Deepti Mohandas Serai","F",101,4014,47680,"1993-04-20","06:16:00 AM","31","yes","","","","","","","","","","","","","","","",3,"BA Hons Business Management","","","","","","686768768789","Mohandas Serai","Businessman","","","","Yes",231,3391,47095,"","",1,"","","","","","b20.jpeg","[""b20.jpeg"",""b21.jpeg""]","[]","","","","","F","","AED"
"AARTI CHANDRU MAKHIJANI","F",101,4008,47096,"1979-05-23","07:45:00 AM","45","","Not Required","","","","","","","","","","","","","","",3,"","","",30,"Self Employed","","0","Late Chandru Makhijani","","Bina Makhijani","Retired","","Yes",101,4008,47096,"","",8,"","","","","","b22.jpeg","[""b22.jpeg"",""b23.jpeg"",""b24.jpeg"",""b25.jpeg""]","[]","","","","","F","","INR"
"Aarti Ashok Mutreja","F",101,4035,47854,"1984-07-30","04:04:00 AM","39","no","Not Required",5.2," ","","919841967066","Fair",101,4035,47854,"91","Yes",2,"","","single",3,"","","",107,"","","0","Ashok Mutreja","Businessman at Raheja Complex","Nitu Mutreja","Homemaker","","Yes",101,4035,47854,"","",16,"","","","","","b26.jpeg","[""b26.jpeg"",""b27.jpeg"",""b28.jpeg"",""b29.jpeg"",""b30.jpeg""]","[]","","","","","F","","INR"
"Aarti Prakash Dandwani","F",101,4015,47616,"1998-10-08","01:45:00 AM","25","no","",5.2," ","","919414002738","",101,4015,47616,"91","Yes",1,"","","single",3,"","","",2,"","","0","Prakash Dandwani","Businessman at a Restaurant","","","","Yes",101,4015,47616,"","",14,"","","","","","b31.jpeg","[""b31.jpeg"",""b32.jpeg"",""b33.jpeg""]","[]","","","","","F","","INR"
"Aastha Rajesh Pherwani","F",101,4021,45506,"1995-03-10","03:01:00 PM","29","notsure","Not required",5.3," ","","919810747120","Fair",101,4021,45506,"91","Yes",1,"","","single",3,"Bachlors in Business Adminstration","","",2,"","","0","Rajesh Pherwani","Financer","","","","Yes",101,4021,45506,"","",1,"","","","","","b34.jpeg","[""b34.jpeg"",""b35.jpeg""]","[]","","","","","F","","INR"
"Aakash Girdhari Keswani","M",174,1347,"","1989-10-11","02:49:00 PM","34","notsure","Not Required",5.8,"68 KGS","","971505140639","Handsome",231,3391,47095,"+971","Not Sure",2,"","","single",4,"Master's in Professional Accountancy","University of London","",20,"Finance Manager at Next Broadcast Media","","0","Late Girdhari Keswani","Business - Garment Shop in Satwa Dubai. High Street Trading","Veena Keswani","","","Yes",231,3391,125418,"","",10,"","","","","","No Photo.jpeg","[""No Photo.jpeg""]","[]","","","","","M","B","INR"
"Aman Nanik Aswani","M",231,3391,47095,"1993-01-17","07:36:00 PM","31","notsure","Not Required",5.1," ","","971509542738","",231,3391,47095,"+971","Not Sure",2,"","","single",3,"Bachelors of Science in Business Administration","American University of Sharjah","",24,"Business Intelligence Developer in MNC","","0","Nanik Aswani","Director of Anarkali Textiles Dubai","Late Jyoti Aswani","","","Yes",231,3391,125418,"","",3,"","","","","","g1.jpeg","[""g1.jpeg"",""g2.jpeg"",""g3.jpeg""]","[]","","","","","M","A,B,C","INR"
"Amit Dinesh Sharma","M",101,4008,47275,"1992-10-13","08:58:00 PM","31","no","Required",5.11,"81 KGS","","971503855067","",231,3391,47095,"+971","Not Sure",2,"Social","Social","single",4,"Masters in Business Administraion","","",106,"Product Manager fir ab Italian Group of Financial Technology and Blockchain","","0","Dinesh Sharma","Head of Operations & Logistics at Vista Group, Lagos (Nigeria)","Geeta Sharma","Tutor","","No",101,4008,47275,"","",1,"","","","","","g4.jpeg","[""g4.jpeg"",""g5.jpeg"",""g6.jpeg""]","[]","","","","","M","A,C","INR"
"Aishwarya Hanuman Shewakramani","F","","","","1996-09-03","07:55:00 AM","27","notsure","Not Required",5.1," ","","971525656411","",231,3391,47095,"+971","Not Sure",1,"","","single",3,"Bachelors in Commerce - Marketing","University of Wollongong, Dubai","",25,"","","0","Late Hanuman Shewakramani","","Meetu Hanuman Shewakramani","Business - Naif Star Trasing LLC (Deira)","","Yes",231,3391,125418,"","",3,"","","","","","b1.jpeg","[""b1.jpeg"",""b2.jpeg"",""b3.jpeg"",""b4.jpeg"",""b5.jpeg""]","[]","","","","","F","","INR"
"Amrata  Wadhwani","F",101,4039,46595,"1985-11-25","01:10:00 PM","38","notsure","Not Required",5.3," ","","971503445687","Fair",231,3391,47095,"+971","",1,"","","single",3,"Bachelors of Engineering (Hons) Computer Science","BITS Pilani Dubai","",25,"","","0","Keshav Wadhwani","Retired","Anita Wadhwani","Homemaker","","No",101,4039,46595,"","",1,"","","","","","b6.jpeg","[""b6.jpeg""]","[]","","","","","F","","INR"
